English,Telugu,MIX CODE (TENGLISH),TRANSLITERATION
Tom didn't do much work today.,టామ్ ఈ రోజు పెద్దగా పని చేయలేదు.          ,టామ్ ఈ రోజు ఎక్కువ work చేయలేదు.,Tom ee roju ekkuva work cheyyaledu.
He is old enough to travel alone.,అతను ఒంటరిగా ప్రయాణించేంత వయస్సులో ఉన్నాడు.          ,అతను ఒంటరిగా travel చేసేంత వయసు వచ్చింది.,Atanu alone travel cheyadaniki chalu age unnaadu.
That's too hard.,అది చాలా కష్టం.          ,అదీ చాలా hard.,Adi too hard.
We're still in Boston.,మేము ఇంకా బోస్టన్‌లో ఉన్నాము.          ,మేము ఇంకా Boston లోనే ఉన్నాం.,Memu still Boston lo unnām.
I don't like living here.,ఇక్కడ నివసించడం నాకు ఇష్టం లేదు.          ,ఇక్కడ living చేయడం నాకు ఇష్టం లేదు.,Ikada living cheyyadam naaku nachadam ledu.
Many people are struggling to keep a roof over their heads.,చాలా మంది ప్రజలు తమ తలపై పైకప్పు ఉంచడానికి కష్టపడుతున్నారు.          ,చాలా మంది తలపై roof ఉండేలా struggle అవుతున్నారు.,Chala mandi vallaki roof maintain cheyadaniki struggle chesthunaaru.
Has Tom asked you out yet?,టామ్ ఇంకా మిమ్మల్ని అడిగాడు?          ,టామ్ ఇంకా నీతో బయటికి రావాలా అని అడిగాడా?,Tom still meeku ask chesadaa?
Tom used to smoke three packs of cigarettes a day.,టామ్ రోజుకు మూడు ప్యాక్ సిగరెట్లు తాగేవాడు.          ,టామ్ రోజుకి మూడు packs cigarettes smoke చేసేవాడు.,Tom rojuki 3 packs cigarettes smoke chesthunevadu.
Are you hurt?,మీరు బాధపడుతున్నారా?          ,మీరు hurt అయ్యారా?,Meeru hurt ayyaraa?
I want to become an interpreter.,నేను వ్యాఖ్యాత కావాలనుకుంటున్నాను.          ,నేను interpreter అవ్వాలనుకుంటున్నాను.,Nenu interpreter avvalanukuntunnanu.
Nothing happened today.,ఈ రోజు ఏమీ జరగలేదు.          ,ఈ రోజు ఏం జరగలేదు.,Ee roju em jaragaledu.
Nobody is listening to Tom.,టామ్‌ను ఎవరూ వినడం లేదు.          ,ఎవరూ టామ్ మాట వినడం లేదు.,Tom ni evaru listen cheyyadam ledu.
We played cards to kill time.,సమయాన్ని చంపడానికి మేము కార్డులు ఆడాము.          ,time pass కోసం మేము cards ఆడాం.,Time pass kosam memu cards aadamu.
I'm sorry I can't help you.,క్షమించండి  నేను మీకు సహాయం చేయలేను.         ,"sorry, నేను మీకు help చేయలేను.",Sorry nenu meeku help cheyyalem.
I hate dogs.,నేను కుక్కలను ద్వేషిస్తున్నాను.          ,నాకు dogs అంటే అసహ్యం.,Nenu dogs ni hate chesthanu.
I want bread and jam.,నాకు బ్రెడ్ మరియు జామ్ కావాలి.          ,నాకు bread మరియు jam కావాలి.,Naaku bread mariyu jam kavali.
This is a worthwhile book.,ఇది విలువైన పుస్తకం.          ,ఇది చదవడానికి worthwhile అయిన book.,Idi oka worthwhile book.
Please tell me more about it.,దయచేసి దీని గురించి నాకు మరింత చెప్పండి.          ,దాని గురించి ఇంకాస్త చెప్పండి.,Dayachesi dinigurinchi ekkuva cheppandi.
I'm sure Tom will turn up eventually.,టామ్ చివరికి పైకి వస్తాడని నేను ఖచ్చితంగా అనుకుంటున్నాను.          ,చివరకు టామ్ వస్తాడని నాకు sure.,Nenu sure Tom eventually turn up avuthadu.
If you don't want to do it for Tom  then do it for me.,మీరు టామ్ కోసం దీన్ని చేయకూడదనుకుంటే  నా కోసం దీన్ని చేయండి.        ,"టామ్ కోసం చేయాలనిపించకపోతే, నా కోసం చేయండి.","Meeru Tom kosam cheyalanukolekapothe, naa kosam cheyandi."
Tom was married at the time.,టామ్ ఆ సమయంలో వివాహం చేసుకున్నాడు.          ,అప్పటికి టామ్ married అయ్యాడు.,Appudu Tom married unnadu.
You were the one who gave me that tip.,నాకు ఆ చిట్కా ఇచ్చినది మీరు.          ,ఆ tip నాకు ఇచ్చింది మీరు.,Naaku aa tip ichindhi meeru.
Tom didn't take his own life.,టామ్ తన ప్రాణాలను తీసుకోలేదు.          ,టామ్ తన ప్రాణాలు తీయలేదు.,Tom tana own life teesukoledhu.
This is my real hair.,ఇది నా నిజమైన జుట్టు.          ,ఇది నా real hair.,Idi naa nijamaina hair.
Tom was a friend of my brother's.,టామ్ నా సోదరుడి స్నేహితుడు.          ,టామ్ నా అన్నయ్య friend.,Tom naa brother friend.
I need a red pen.,నాకు ఎర్ర పెన్ను కావాలి.          ,నాకు red pen కావాలి.,Naaku oka red pen kavali.
I told you it would work.,ఇది పని చేస్తుందని నేను మీకు చెప్పాను.          ,ఇది work చేస్తుందని నేను ముందే చెప్పాను.,Idi work chestundani nenu already cheppanu.
I saw Tom a few minutes ago.,నేను కొన్ని నిమిషాల క్రితం టామ్‌ను చూశాను.          ,కొద్ది minutes క్రితం టామ్‌ను చూసాను.,Konni nimishalu mundu Tom ni chusanu.
The captain is responsible for the safety of passengers.,ప్రయాణికుల భద్రతకు కెప్టెన్ బాధ్యత వహిస్తాడు.          ,passengers safetyకి captain బాధ్యతవహిస్తాడు.,Passengers safety ki captain responsible.
Tom's help isn't needed.,టామ్ సహాయం అవసరం లేదు.          ,టామ్ help అవసరం లేదు.,Tom help avasaram ledu.
